lca_case_employer_name,total_workers
ALTRAN SOLUTIONS CORP.,1.0
ALTPOINT CAPITAL PARTNERS LLC,1.0
"ALTOUR INTERNATIONAL, INC",1.0
ALTMAN VILANDRIE AND COMPANY,1.0
ANDREA MEISLIN GALLERY,1.0
ANDRES AQUIMO USA INTERNATIONAL FASHIOM SHOWS,1.0
"ANDREW BERMAN ARCHITECT, PLLC",1.0
"ARIEL INVESTMENTS, LLC",1.0
"ARIBA, INC.",1.0
ARIAS RESOURCE CAPITAL MANAGEMENT LP,1.0
"ARGUS MEDIA, INC.",1.0
ARGOSY INTERNATIONAL INC.,1.0
ARGOSY BOOK STORE,1.0
ARGONAUT MANAGEMENT L.P.,1.0
"AREXA RURIK EKSTROM AND ASSOCIATES, LLC",1.0
"ARETE SYSTEMS, INC.",1.0
ARES CAPITAL MANAGEMENT LLC,1.0
AREL CAPITAL LP,1.0
AREL CAPITAL LLC,1.0
ARDIAN US LLC,1.0
ARCHITIZER INC,1.0
ARCHILIER ARCHITECTURE,1.0
ARCHI-TECTONICS,1.0
"ARCHER IT, LLC",1.0
ARCANO CAPITAL USA INC,1.0
"ARCADIS U.S., INC.",1.0
"ARCADIA SECURITIES, LLC",1.0
"ARCADE EDIT NEW YORK, LLC",1.0
"ARANDA \ LASCH, INC.",1.0
ARICENT TECHNOLOGIES (HOLDINGS) LTD.,1.0
ARIEL PROPERTY ADVISORS LLC,1.0
ARAB BANKING CORPORATION (B.S.C.),1.0
"ARIES COMPUTER SYSTEMS, INC.",1.0
ARTNET WORLDWIDE CORPORATION,1.0
ARTISAN PARTNERS LIMITED PARTNERSHIP,1.0
ARTIMUS CONSTRUCTION INC.,1.0
"ARTICULATE COMMUNICATIONS, INC.",1.0
ARTICLE ONE PARTNERS HOLDINGS LLC,1.0
"ARTFORUM INTERNATIONAL MAGAZINE, INC.",1.0
ARTFORUM INTERNATIONAL MAGAZINE INC.,1.0
ARTESIAN CAPITAL MANAGEMENT LP,1.0
"ART.SY, INC.",1.0
ART MEETS COMMERCE INTERACTIVE LLC,1.0
ART FASHION CORP.,1.0
ART CAPITAL GROUP INC.,1.0
ARRAY ARCHITECTS,1.0
ARQUITECTONICA INTERNATIONAL CORPORATION,1.0
ARMYNAVYDEALS.COM CORP.,1.0
"ARMSTRONG TECHNOLOGIES, INC.",1.0
ARMENIAN GENERAL BENEVOLENT UNION,1.0
"ARMENIA FUND USA, INC.",1.0
"ARLEE HOME FASHIONS, INC.",1.0
ARKADIUM INC.,1.0
"ARISTEIA CAPITAL, LLC",1.0
ARACA MERCHANDISE L.P.,1.0
AQUIL SYSTEMS INC.,1.0
"ANDREW DAVIDSON & CO., INC.",1.0
AOZORA BANK LTD.,1.0
AON FIRE PROTECTION ENGINEERING CORPORATION,1.0
"AON CONSULTING, INC.",1.0
"AON BENFIELD, INC.",1.0
AOL ADVERTISING INC.,1.0
AOKI HOLDINGS N.Y. INC.,1.0
ANVIL NY LLC,1.0
ANTRA INC,1.0
ANTHONY LAWRENCE OF NEW YORK INC.,1.0
"ANTHONY BRANDS, LLC",1.0
"ANTENNA PAY TV USA, INC.",1.0
ANTENNA DESIGN NEW YORK INC.,1.0
ANTARCTICA ASSET MANAGEMENT LLC,1.0
"ANSWERLAB, LLC",1.0
ANNA HU LLC,1.0
ANJANEYAP INC.,1.0
ANICCA CAPITAL MANAGEMENT LP,1.0
"ANGELSOFT, LLC",1.0
ANGELIC HOLDINGS SERVICES NY LTD.,1.0
ANGEL TEXTILES INC.,1.0
ANECDOTE SERVICES INC.,1.0
ANDREW FRANZ ARCHITECT PLLC,1.0
"AON RISK SOLUTIONS, INC.",1.0
"APA INTERNATIONAL PLACEMENT CONSULTANTS, LLC.",1.0
"AQUA INFORMATION SYSTEMS, INC.",1.0
"APEX BULK CARRIERS, LLC",1.0
"APUS ENTERPRISES, LTD. (D/B/A GLOBAL VISION GROUP",1.0
"APTIVITI, INC.",1.0
APTIVA CORP,1.0
APT212 INC,1.0
APT 212 INC,1.0
"APPSPROFESSIONAL, INC",1.0
"APPOMATTOX ADVISORY, INC.",1.0
APPLE SEEDS LLC,1.0
"APPFIRST, INC.",1.0
"APPFIGURES, INC.",1.0
"APPDYNAMICS, INC.",1.0
APPDRENALINE INC,1.0
"APPCARD SOLUTIONS, INC.",1.0
"APOLLO LIGHTSPEED, LLC, AN APOLLO EDUCATION GROUP",1.0
"APOLLO GLOBAL MANAGEMENT, LLC",1.0
APOLLO BUILDERS LLC,1.0
APN CONSULTING INC.,1.0
APM MODELS INC.,1.0
APHELION FUND MANAGEMENT LLC,1.0
APEX INFOSYSTEMS INC.,1.0
"APEX FOR YOUTH, INC.",1.0
ALL DAY EVERY DAY LLC,1.0
"ALIVE + THINKING, LLC",1.0
"ALISON BROD PUBLIC RELATIONS, INC.",1.0
"AA & TC, INC.",1.0
"A.J. FASHION GROUP, INC.",1.0
"A.H. SCHREIBER CO., INC.",1.0
A-1 CONSULTING INC.,1.0
A+H ARCHITECTURE,1.0
"A+E TELEVISION NETWORKS, LLC",1.0
A&L GOODBODY,1.0
A&J WEALTH STRATEGIES LLC,1.0
"A&E TELEVISION NETWORKS, LLC",1.0
A SHARP INC,1.0
"A FINE GAUGE, INC.",1.0
?WHAT IF! USA LIMITED,1.0
99DRESSES INC.,1.0
"9 DOTS TECHNOLOGY, INC.",1.0
87AM HOLDINGS,1.0
"8760 ENTERPRISES, INC.",1.0
8 ENTERPRISES INC.,1.0
7TH AVENUE TAX & ACCOUNTING CORP,1.0
"7PARK DATA, LLC",1.0
6TH SENSE INC. (FORMERLY EURO RSCG LATINO INC.),1.0
6 SR LLC.,1.0
6 SR LLC,1.0
"A.R.T. ADVISORS, L.L.C.",1.0
"AAI ARCHITECTS, P.C.",1.0
"57TH STREET COLLECTION, INC.",1.0
AARKAY CONSULTING INC.,1.0
"ACCESS MARKETS INTERNATIONAL (AMI) PARTNERS, INC.",1.0
"ACCESS INDUSTRIES, INC.",1.0
"ACCELERATED INNOVATORS, INC.",1.0
"ACCELERATED INNOVATORS, INC",1.0
"ACCELERATE PRODUCT PARTNERS, LLC",1.0
"ACCEL INTERNATIONAL, INC.",1.0
ACCEL INTERNATIONAL INC.,1.0
ACAR LAW FIRM PLLC,1.0
"ACADIA TECHNOLOGIES, INC.",1.0
ACADEMY OF ST JOSEPH,1.0
ABSOLUTE TE-MA & COMPANY,1.0
"ABRUZZO DOCG, INC.",1.0
ABRAHAM LINCOLN BRIGADE ARCHIVES,1.0
"ABM JANITORIAL SERVICES NORTHEAST, INC.",1.0
ABERKSON HOLDINGS LLC,1.0
ABERDEEN ASSET MANAGEMENT INC.,1.0
ABCDM LLC,1.0
ABAL TECHNOLOGIES INC,1.0
"ABACUS LABS, INC.",1.0
AAVISPRO LLC,1.0
AAVENTURA INVESTMENT PARTNERS LLC,1.0
584 AMSTERDAM REST. CORP.,1.0
"57 STREET COLLECTION, INC.",1.0
"ACCESS THERAPIES, INC.",1.0
3.1 PHILLIP LIM LLC,1.0
299 10TH AVE BROKERAGE INC.,1.0
289 HOSPITALITY LLC,1.0
28 WEST 44TH RESTAURANT LLC,1.0
"250 PARK GROUP, INC",1.0
23 INNOVATIONS INC.,1.0
"212 LAFAYETTE ASSOCIATES, LLC D/B/A CAFE SELECT",1.0
"212 LAFAYETTE ASSOCIATES, LLC CAFE SELECT",1.0
21 CBI INC.,1.0
20 BMA 38 CORP,1.0
2 X 4 INC.,1.0
"16TH STREET MEDICAL MANAGEMENT, LLC",1.0
169 EIGHTH RESTAURANT CORP.,1.0
161 HUDSON CAFE LLC,1.0
151 BLEECKER LLC,1.0
"13TH STREET ENTERTAINMENT, LLC",1.0
"139 MEDICAL FACILITY, P.C.",1.0
12K APPAREL NY LLC,1.0
1199 SEIU UNITED HEALTHCARE WORKERS EAST,1.0
116 WEST HOUSTON STREET LLC,1.0
"116 EXPRESS, INC",1.0
"110 ARCHITECT, P.C.",1.0
2LS CONSULTING ENGINEERING PC,1.0
"3.1 PHILLIP LIM, LLC.",1.0
53RD FW CORP,1.0
"314 5TH ENTERPRISES, INC.",1.0
5 STAR APPAREL LLC,1.0
"4SIGHT, INC.",1.0
48 WEST 21ST STREET CORP.,1.0
451 RESEARCH LLC,1.0
43 FOOD CORP.,1.0
42ND AND 10TH HOTEL,1.0
406 MANAGEMENT LLC,1.0
406 BROOME ST RESTAURANT INC,1.0
3K TECHNOLOGIES LLC,1.0
3I CORPORATION,1.0
3DGEUSAGROUP LLC,1.0
3CUBE SOLUTIONS INC,1.0
3A SOFT INC.,1.0
35 H & Y DUET INC.,1.0
"34TH STREET PARTNERSHIP, INC.",1.0
343 BROOME STREET RESTAURANT INC,1.0
34 WEST 22ND STREET COMEDY CORP.,1.0
"33ACROSS, INC.",1.0
"33 UNIVERSAL, INC.",1.0
"32 ADVISORS, LLC",1.0
316 WEST 49TH RESTAURANT CORP,1.0
"ACCESS PUBLIC RELATIONS, LLC",1.0
ACCLIVITY NYC LLC,1.0
"ALINDUS, INC.",1.0
"AIP NEW YORK CO., LTD.",1.0
"AIG PROPERTY CASUALTY INSURANCE AGENCY, INC.",1.0
"AIG EMPLOYEE SERVICES, INC.",1.0
AIAS ALTERNATIVE ENERGY LLC,1.0
AI MEDIA GROUP,1.0
AHRC-NYC,1.0
AHRC - NYC,1.0
AGRICULTURAL BANK OF CHINA LIMITED,1.0
AGORA GALLERY INC.,1.0
AGNOVOS HEALTHCARE USA LLC,1.0
"AGILE DATA, LLC",1.0
AGENT M LLC,1.0
AGENCY STRATEGIC CREATIVE INC.,1.0
AGENCIE GROUP LLC,1.0
"AGE GROUP, LTD.",1.0
"AGAPE MATCH, LLC",1.0
AG DISTRIBUTORS & SUPPLIES CORP.,1.0
AFTRA HEALTH FUND,1.0
AFTER-MOUSE.COM USA INC.,1.0
"AFI US, LLC",1.0
AFFINITY TRADING GROUP LLC,1.0
"AFFILIATED PRIVATE INVESTORS, LLC",1.0
"AIMIC, INC.",1.0
"AIQ, INC.",1.0
"AEROTEK, INC.",1.0
"AIR BERLIN AMERICAS, INC.",1.0
"ALICE+OLIVIA, LLC",1.0
"ALICE & OLIVIA, LLC",1.0
"ALGODREAM, INC.",1.0
"ALGODREAM, INC",1.0
ALFA SERVICES USA INC.,1.0
ALEXIS BITTAR LLC,1.0
ALEXANDER S. ONASSIS PUBLIC BENEFIT FOUNDATION(USA,1.0
ALEXANDER MCQUEEN TRADING LTD.,1.0
ALEXANDER MANN SOLUTIONS CORPORATION,1.0
ALEUTIAN CAPITAL PARTNERS LLC,1.0
ALCOHOOT,1.0
"ALBION INVESTORS, LLC",1.0
"ALBATROSS GLOBAL SOLUTIONS, INC.",1.0
ALAN DERSHOWITZ CONSULTING LLC,1.0
ALAC INTERNATIONAL INC.,1.0
"AL JAZEERA AMERICA, LLC",1.0
AKA NYC LIMITED,1.0
"AITHENT, INC",1.0
"AIT GLOBAL, INC.",1.0
"AIRPUSH, INC.",1.0
"AIRBNB, INC.",1.0
"AETHERWORKS, LLC",1.0
"AEFFE USA, INC.",1.0
"ACCORDANT MEDIA, LLC",1.0
"ADAM PLUS COMPANY, LLC.",1.0
"ADAM D. TIHANY INTERNATIONAL, LTD.",1.0
"ADAM AMERICA, LLC",1.0
"ADA CORE TECHNOLOGIES, INC",1.0
ACUPAY SYSTEM LLC,1.0
"ACUMEN FUND, INC.",1.0
"ACUMEN CONSULTING, INC",1.0
ACTUATE CORPORATION,1.0
ACTION AGAINST HUNGER,1.0
"ACTFOREX, INC",1.0
ACS INTERNATIONAL RESOURCES INC.,1.0
"ACROPETAL, INC.",1.0
"ACQUIS CONSULTING GROUP, LLC",1.0
ACOLADE LLC,1.0
"ACMESOFT GLOBAL, INC.",1.0
ACKER MERRALL & CONDIT COMPANY,1.0
"ACHELOUS PARTNERS, LLC",1.0
"ACELERO, INC.",1.0
"ACE TECHNOLOGIES, INC.",1.0
ACE AMERICAN INSURANCE COMPANY,1.0
ACCUPOINT LLC,1.0
"ACCOUNTING RESEARCH & ANALYTICS, LLC",1.0
"ADAM INFORMATION TECHNOLOGIES, LLC",1.0
ADAP.TV,1.0
AEFFE USA INC,1.0
"ADAP.TV, INC.",1.0
"ADVISORS ASSET MANAGEMENT, INC.",1.0
ADVENT SOFTWARE INC,1.0
ADVENT GLOBAL SOLUTIONS INC.,1.0
"ADVANTAGE TESTING, INC.",1.0
"ADVANCED PORTFOLIO MANAGEMENT, LLC",1.0
"ADVANCED BUSINESS GROUP, INC.",1.0
ADVANCE MAGAZINE PUBLISHERS INC.,1.0
"ADVANCE - GLOBAL AUSTRALIAN PROFESSIONALS, INC.",1.0
"ADSYOLO MEDIA, INC.",1.0
"ADSTRUC, INC.",1.0
"ADP, INC.",1.0
"ADOBE SYSTEMS FEDERAL, LLC",1.0
"ADMEDIA PARTNERS, INC.",1.0
"ADFIN SOLUTIONS, INC.",1.0
"ADEN + ANAIS, INC",1.0
"ADECCO USA, INC.",1.0
"ADECCO GROUP NA/PONTOON SOLUTIONS, INC.",1.0
"ADDEPAR, INC.",1.0
ADDED VALUE,1.0
ADBAKX LLC,1.0
"ADAPTLY, INC.",1.0
ARTSINDIA.COM LLC,1.0
ARULIDEN LLC,1.0
CELLVAL LLC,1.0
BREVAN HOWARD US INVESTMENT MANAGEMENT LP,1.0
BRITT BANTER LLC,1.0
"BRINTONS U.S. AXMINSTER, INC",1.0
"BRIGHTSTAR US, INC.",1.0
"BRIGHTIDEA, INC.",1.0
BRIGHTCOVE INC.,1.0
"BRIGHTBOX, INC.",1.0
BRICKHOUSE ELECTRONICS LLC,1.0
BRICK AND BOND LLC,1.0
BREZAVAR AND BREZAVAR ARCHITECTS,1.0
"BREVET HOLDINGS, LLC",1.0
BRAVES TECHNOLOGIES LLC,1.0
"ARVYN TECHNOLOGIES, INC",1.0
BRAVERMAN CPA PC,1.0
BRASIL PLURAL SECURITIES LLC,1.0
BRANDWIZARD TECHNOLOGIES INC.,1.0
"BRANDON THOMAS CO., LTD.",1.0
BRANDON CONSULTING ASSOCIATES INC.,1.0
BRANDON CONSULTING ASSOCIATES INC,1.0
BRANDLOGIC CORP.,1.0
"BRANDERATI, LLC",1.0
"BRAND PROGRAMMING NETWORK, LLC",1.0
BRAND NEW SCHOOL,1.0
"BROADLIGHT, INC",1.0
"BROADPEAK PARTNERS, INC.",1.0
BROADSTREET PRODUCTIONS LLC,1.0
"BROADWAYBOX, INC.",1.0
BUKHMAN MD PC,1.0
BUILDING INTELLIGENCE INC.,1.0
BUILD AMERICA MUTUAL CORPORATION,1.0
BUILD AMERICA MUTUAL ASSURANCE COMPANY,1.0
"BUCKHURST, FISH & JACQUEMART",1.0
"BUCK CONSULTANTS, LLC",1.0
"BUCCELLATI, INC.",1.0
BTSC USA INC.,1.0
"BT AMERICAS, INC.",1.0
"BRUNETTI MEDIA, LLC",1.0
BRUCE W. LEVIN DMD AND JOEL KLASTELD DDS PLLC,1.0
"BRUCE FREEHOFF DESIGN, INC.",1.0
"BROWN & SWEET, LLC",1.0
BROOKTRAIL TECHNOLOGIES LLC,1.0
BROOKLYN CLOTH LLC,1.0
"BROOKFIELD PROPERTY GROUP, LLC",1.0
BROOKFIELD PROPERTIES MANAGEMENT LLC,1.0
BROOKFIELD PROPERTIES HOLDING LLC,1.0
"BROOKFIELD HOMES SERVICES, LLC",1.0
BRONX COMMUNITY COLLEGE,1.0
"BRONFMAN ASSOICATES III, LLC",1.0
"BRAND NETWORKS, LLC",1.0
"BRAINTREE PAYMENT SOLUTIONS, LLC",1.0
BRAINSTORM DIGITAL INC.,1.0
BONETTI KOZERSKI STUDIO LLC,1.0
"BOMBINO EXPRESS (WORLDWIDE), INC.",1.0
"BOIES, SCHILLER & FLEXNER LLP",1.0
"BODUM USA, INC.",1.0
"BODHTREE SOLUTIONS, INC.",1.0
BODHIMOTION LLC,1.0
BODDEWYN GAYNOR ARCHITECTS,1.0
BOCHIC INC.,1.0
BNP PARIBAS INVESTMENT PARTNERS USA HOLDINGS INC.,1.0
"BNNS CO., INC.",1.0
"BNB HANA BANK, NATIONAL ASSOCIATION",1.0
BNB HANA BANK,1.0
"BMOBILIZED, INC.",1.0
BLUESOFT SOLUTIONS LLC,1.0
BLUEPRINT RESEARCH GROUP,1.0
BLUEPEARL NEW YORK LLC,1.0
"BLUEMETAL ARCHITECTS, INC.",1.0
BLUEMATRIX I LLC,1.0
"BLUEMAR CAPITAL MANAGEMENT, LLC",1.0
BLUEMAR CAPITAL MANAGEMENT LLC,1.0
"BLUECREST CAPITAL MANAGEMENT (NEW YORK), L.P.",1.0
BLUE WOLF GROUP LLC,1.0
BONCHON FRANCHISE LLC,1.0
BONHAMS & BUTTERFIELDS AUCTIONEERS CORPORATION,1.0
BRAINPOP LLC,1.0
"BONJALAR USA, INC.",1.0
"BRAIN AND CAPITAL USA, INC.",1.0
"BRADESCO SECURITIES, INC.",1.0
BRACEWELL & GIULIANI LLP,1.0
BPCM,1.0
BP MANAGEMENT LP,1.0
BP LAW GROUP LLP,1.0
BP CAREER CONSULTING INC,1.0
BP ARCHITECTURE PC,1.0
"BOYLE SOFTWARE, INC.",1.0
BOXGROUP SERVICES LLC,1.0
BOW TIE CINEMAS LLC,1.0
"BOTTEGA VENETA, INC.",1.0
"BOTKIER NY, LLC",1.0
BOTKIER NY LLC,1.0
BOSS GROUP LLC,1.0
"BORN GROUP, INC.",1.0
BORDERFREE,1.0
"BOQUERIA OPERATIONS, LLC",1.0
BOP LLC,1.0
"BOOKS FOR LESS, LLC",1.0
"BONOBOS, INC.",1.0
BULLETT MEDIA LLC,1.0
BULLFROG & BAUM LTD.,1.0
BULSON MANAGEMENT LLC,1.0
"CATLIN, INC.",1.0
"CATHAY HOME, INC.",1.0
CATFISH ENTERTAINMENT LLC,1.0
CATES LLC,1.0
CATALYST INC,1.0
CASUAL EXPRESS APPAREL CORP.,1.0
CASTLEOAK SECURITIES LP,1.0
CASTLE BRANDS (USA) CORP.,1.0
"CASTILLO, LLC",1.0
"CAST AMERICAS, LLC",1.0
CASE DESIGN INC.,1.0
CASA DRAGONES TEQUILA COMPANY,1.0
"CARTESIAN CAPITAL GROUP, LLC",1.0
CAROUSEL OF LANGUAGES LLC,1.0
CAROL MANN,1.0
"CARNEGIE, INC.",1.0
"CARLO & OTTO, LLC",1.0
CARIBBEAN PROPERTY SERVICES LLC,1.0
"CAREGUARDIAN, INC.",1.0
CARDINAL TECHNOLOGY SOLUTIONS LLC,1.0
CARBON DISCLOSURE PROJECT (NORTH AMERICA) INC.,1.0
CARBON CREDIT CAPITAL LLC.,1.0
CATHY DANIELS LTD,1.0
CAVA CONSTRUCTION & DEVELOPMENT,1.0
CAPSTONE CONSULTING LLC,1.0
"CAVA CONSTRUCTION AND DEVELOPMENT, INC.",1.0
"CELLO CAPITAL MANAGEMENT, LLC",1.0
CELINE INC.,1.0
CELANO DESIGN STUDIO,1.0
CEE CLINICAL RESEARCH INC.,1.0
CEDRUS LLC,1.0
CEDRUS CONSULTING,1.0
CDR STUDIO ARCHITECTS PC,1.0
"CDP CAPITAL US, INC.",1.0
CDM SMITH INC.,1.0
"CDG GROUP, LLC",1.0
CCOKFOX ARCHITECTS LLP,1.0
CCN RESOURCES LLC,1.0
"CCM SECURITIES, LLC",1.0
"CCM CONSULTING SERVICES, INC.",1.0
CC TRACK SOLUTIONS LLC,1.0
"CBX, LLC",1.0
CBS OUTDOOR LLC,1.0
CBS NEWS INC.,1.0
CBS INTERACTIVE INC.,1.0
CBS CORPORATION,1.0
"CBIZ ACCOUNTING, TAX & ADVISORY OF NEW YORK, LLC",1.0
CARBON CREDIT CAPITAL LLC,1.0
"CAPRICORN SYSTEMS, INC.",1.0
BUNKER NEW YORK LLC,1.0
"CACHE, INC.",1.0
CAC AMERICA CORPORATION,1.0
C12 CAPITAL MANAGEMENT US LP,1.0
C12 CAPITAL MANAGEMENT LP,1.0
C-SAM INC,1.0
"C&R CONSTRUCTION/REN, INC.",1.0
C LIFE GROUP,1.0
"C & M FIRST SERVICES, INC.",1.0
"C & K HEALING TOUCH PHYSICAL THERAPY, PC",1.0
BYUNG C. SONG CPA,1.0
BYRONESQUE LTD,1.0
"BWISE INTERNAL CONTROL, INC.",1.0
BWG STRATEGY LLC,1.0
BV CAPITAL MANAGEMENT LLC,1.0
"BUSINESS TECHNOLOGY SOFTWARE SOLUTIONS, INC",1.0
BUSINESS SOFTWARE SOLUTIONS OF NJ,1.0
BUSINESS REPORTING MANAGEMENT SERVICES INC.,1.0
"BUSINESS INTELLIGENCE SYSTEMS, INC.",1.0
"BUSINESS INSIDER, INC.",1.0
BURO KORAY DUMAN ARCHITECTURE PLLC,1.0
"BUREAU BETAK, INC.",1.0
BURBERRY LIMITED,1.0
CACHE INC.,1.0
"CADATASOFT, INC",1.0
"CAPRICORN ADVISERS, LLC",1.0
"CADIAN CAPITAL MANAGEMENT, LP",1.0
"CAPITALSTAR SYSTEMS, LLC",1.0
"CAPITAL MARKETS ENGINEERING &AMP; TRADING, LLC",1.0
"CAPITAL GUARDIAN, LLC",1.0
CAPITAL GROUP COMPANIES INC,1.0
"CAPITAL DYNAMICS, INC.",1.0
CAPGEMINI FINANCIAL SERVICES USA INC.,1.0
"CAPE ADVISORS, INC.",1.0
"CANVAS INFOTECH, INC.",1.0
CANTOR FITZGERALD LP,1.0
CANTOR & DING VENTURES LLC,1.0
"CANTILLON CAPITAL MANAGEMENT, LLC",1.0
CANTAMESSA USA,1.0
CANALI RETAIL INC.,1.0
CAMELOT INTEGRATED SOLUTIONS INC,1.0
CAMBRIDGE ALLIANCE CAPITAL LLC,1.0
CALVERT MEDIA INC,1.0
CALLISON LLC,1.0
CALIFORNIA INSTITUTE OF TECHNOLOGY,1.0
CAI MANAGEMENT GP CO.,1.0
CAFFEBENE INC,1.0
"CAESAR & NAPOLI, PC",1.0
"BLUE STAR JETS, LLC",1.0
BLUE STAR DIAMONDS NY INC.,1.0
BLUE ROAD MANAGEMENT LP,1.0
B.I.G ARCHITECTURE D.P.C,1.0
"B LANE, INC.",1.0
B LAB COMPANY,1.0
B AND B HOSPITALITY GROUP INC.,1.0
AZURE INTERNATIONAL INC.,1.0
"AXIS TECHNOLOGY, LLC",1.0
AXIOM,1.0
AXELROD ENERGY PRODUCTS LLC,1.0
AXEL SPRINGER GROUP INC.,1.0
AXEL JOHNSON INC.,1.0
AXA REAL ESTATE INVESTMENT MANAGERS US LLC,1.0
"AXA PRIVATE EQUITY US, LLC",1.0
AXA INSURANCE COMPANY,1.0
AWOKE LLC,1.0
AWAKEN ADVISORS INC,1.0
AWAD FINE JEWELRY LLC,1.0
"AVROKO DESIGN, LLC",1.0
AVION SPIRITS LLC,1.0
AVESTA COMPUTER SERVICES LTD.,1.0
AVERY DENNISON CORPORATION,1.0
AVANT-GARDE SOLUTIONS LTD.,1.0
"AVALONBAY COMMUNITIES, INC.",1.0
B-REEL INC.,1.0
B.I.G. ARCHITECTURE P.C.,1.0
AVAAP USA INC,1.0
B2B COMPUTER PRODUCTS LLC,1.0
BANCO DO BRASIL,1.0
BAMM INC.,1.0
BAMKO INC.,1.0
"BALMORI ASSOCIATES, INC.",1.0
"BALLET JEWELS, LLC",1.0
BALA NEW YORK INC.,1.0
"BAKERS DOZEN ASSOCIATES, LLC",1.0
BAKER BOTTS L.L.P.,1.0
BAKER & MCKENZIE LLP,1.0
"BAKED BY MELISSA, LLC",1.0
BAJA EAST LLC,1.0
"BAILEY HOUSE, INC.",1.0
BAHA EAST LLC,1.0
"BAGATELLE INTERNATIONAL USA, INC.",1.0
BACKSPACES INC.,1.0
"BAC HOME LOANS SERVICING LP, A BANK OF AMERICA COM",1.0
"BABETH'S FEAST, INC.",1.0
BABBEL INC.,1.0
BAANYAN SOFTWARE SERVICES INC.,1.0
"BAANYAN SOFTWARE SERIVCES, INC.",1.0
"B2C JEWELS, LLC",1.0
"AVALANCHE STUDIOS NEW YORK, INC.",1.0
AUTORE USA LTD,1.0
"BANCO SANTANDER, S.A. NEW YORK BRANCH",1.0
"ATELIER MANAGEMENT, INC.",1.0
"ATABOY STUDIOS, INC.",1.0
AT&T MOBILITY SERVICES LLC,1.0
"AT LAST SPORTSWEAR, INC.",1.0
"ASTROSOFT TECHNOLOGIES, LLC",1.0
ASTRAEA FOUNDATION,1.0
ASTOR INVESTMENT MANAGEMENT LLC,1.0
"ASSURED LABOR, INC.",1.0
ASSURED GUARANTY CORP.,1.0
"ASSOCIATED RENEWABLE, INC.",1.0
"ASSOCIATED EUROPEAN CAPITAL, LLC",1.0
ASSET CONTROL SYSTEMS INC.,1.0
ASSEMBLED APPAREL LLC,1.0
"ASM USA, INC",1.0
ASM USA INC.,1.0
ASIAN CULTURAL CENTER,1.0
"ASH FINE ART, LLC",1.0
ASFOUR GUZY AND ASSOCIATES,1.0
ASCENT TECHNOLOGIES INC,1.0
"ASAR AMERICA, INC.",1.0
ASAP SOLUTIONS GROUP,1.0
ASAHI NEW YORK INC.,1.0
ATALAYA CAPITAL MANAGEMENT LP,1.0
ATELIER TEN,1.0
AUTONOMY AMERICAS LLC,1.0
"ATHELERA, LLC",1.0
"AUTODESK, INC.",1.0
"AUSTRIAN TRADE AND CONSULTING GROUP, INC.",1.0
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,1.0
AURO PRO SYSTEMS INC,1.0
AUDREY MATLOCK ARCHITECT,1.0
AUDREY LLC,1.0
"AUDIOWORKS PRODUCERS GROUP, INC.",1.0
"AUDIOIS,INC.",1.0
"AUDAX MANAGEMENT COMPANY, LLC",1.0
"AUCTION.COM, LLC",1.0
AUBURN TECHNICAL SERVICES GROUP INC.,1.0
"AUA PRIVATE EQUITY PARTNERS, LLC",1.0
ATWELL DESIGN LLC,1.0
"ATTOLLO CAPITAL, LLC",1.0
ATTABOY MAKES LLC,1.0
ATTABOY COCKTAILS LLC,1.0
ATREAUS CAPITAL LP,1.0
"ATOS IT SOLUTIONS AND SERVICES, INC.",1.0
ATLAS FASHION JEWELRY CORP.,1.0
"ATLANTIC USA, INC.",1.0
ATLANTIC MONTHLY GROUP INC,1.0
BANCO SANTANDER INTERNATIONAL,1.0
"BANK OF AMERICA, NA",1.0
BLUE RIBBON COUTURE INC.,1.0
"BIZ2CREDIT, INC",1.0
BIOLUMINA GROUP LLC,1.0
BINTEL GROUP INC.,1.0
"BILL, HILARY AND CHELSEA CLINTON FOUNDATION",1.0
"BIG TRAM INTERACTIVE GROUP, LLC",1.0
BIG SKY GLOBAL LLC,1.0
BIG HUMAN LLC,1.0
"BIG FUEL COMMUNICATIONS, LLC",1.0
BIG FISH ENTERTAINMENT LLC,1.0
BIG DELICIOUS PRODUCTIONS LLC,1.0
BIG BROTHERS BIG SISTERS OF NEW YORK CITY,1.0
BIG BOWL LLC,1.0
BIG APPLE SIGN CORPORATION,1.0
BIG APPLE OCCUPATIONAL SAFETY CORPORATION,1.0
"BIDONTHECITY.COM, LLC",1.0
BIDKIND LLC,1.0
BICKEL & BREWER,1.0
BIBHU LLC,1.0
BI-SAM INC.,1.0
"BHATIA & ASSOCIATES, P.C.",1.0
BH MULTICOM CORPORATION,1.0
"BEYOND BETTER FOODS, LLC",1.0
BISNOW LLC,1.0
"BIZPAGE, INC",1.0
"BETTERMENT HOLDINGS, INC.",1.0
BKL TRADING INC,1.0
BLUE NUN RESTRAURANT GROUP LLC,1.0
"BLUE FOUNTAIN MEDIA, INC.",1.0
BLS INTERNATIONAL SERVICES USA INC.,1.0
"BLOOMINGDALE'S, INC.",1.0
BLOOMINGDALE'S BY MAIL LTD,1.0
BLOOMBERG TRADEBOOK LLC,1.0
"BLOGLOVIN, INC.",1.0
"BLJ WORLDWIDE, LTD.",1.0
